Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3,Decision 4,Value 4,Decision 5,Value 5,Decision 6,Value 6,Decision 7,Value 7
Universe_34,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity + damages + z3,year_interaction, + post1979:damages,model,neg_binomial
Universe_35,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity + damages + z3,year_interaction, + year:damages,model,log_linear
Universe_36,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity + damages + z3,year_interaction, + year:damages,model,neg_binomial
Universe_37,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages,year_interaction,,model,log_linear
Universe_38,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages,year_interaction,,model,neg_binomial
Universe_39,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages,year_interaction, + post1979:damages,model,log_linear
Universe_40,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages,year_interaction, + post1979:damages,model,neg_binomial
Universe_41,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages,year_interaction, + year:damages,model,log_linear
Universe_42,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages,year_interaction, + year:damages,model,neg_binomial
Universe_43,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction,,model,log_linear
Universe_44,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction,,model,neg_binomial
Universe_45,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction, + post1979:damages,model,log_linear
Universe_46,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction, + post1979:damages,model,neg_binomial
Universe_47,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction, + year:damages,model,log_linear
Universe_48,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction, + year:damages,model,neg_binomial
Universe_49,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction,,model,log_linear
Universe_50,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction,,model,neg_binomial
Universe_51,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction, + post1979:damages,model,log_linear
Universe_52,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction, + post1979:damages,model,neg_binomial
Universe_53,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction, + year:damages,model,log_linear
Universe_54,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction, + year:damages,model,neg_binomial
Universe_55,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction,,model,log_linear
Universe_56,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction,,model,neg_binomial
Universe_57,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction, + post1979:damages,model,log_linear
Universe_58,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction, + post1979:damages,model,neg_binomial
Universe_59,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction, + year:damages,model,log_linear
Universe_60,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * zcat,year_interaction, + year:damages,model,neg_binomial
Universe_61,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction,,model,log_linear
Universe_62,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction,,model,neg_binomial
Universe_63,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction, + post1979:damages,model,log_linear
Universe_64,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction, + post1979:damages,model,neg_binomial
Universe_65,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction, + year:damages,model,log_linear
Universe_66,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity * damages + femininity * z3,year_interaction, + year:damages,model,neg_binomial
Universe_67,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction,,model,log_linear
Universe_68,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction,,model,neg_binomial
Universe_69,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction, + post1979:damages,model,log_linear
Universe_70,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction, + post1979:damages,model,neg_binomial
Universe_71,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction, + year:damages,model,log_linear
Universe_72,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,linear,effect_type,femininity + damages + z3,year_interaction, + year:damages,model,neg_binomial
Universe_73,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages,year_interaction,,model,log_linear
Universe_74,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages,year_interaction,,model,neg_binomial
Universe_75,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages,year_interaction, + post1979:damages,model,log_linear
Universe_76,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages,year_interaction, + post1979:damages,model,neg_binomial
